,countries,capitals,populations,areas,gdp_billion_usd,unemployment_rate,minimum_wage,taux_usd,currencies,inflation_rate,life_expectancy,minimum_usd_wage,gdp_people,pop_millions,pop_float,areas_float
BEN,Bénin,Porto-Novo,14814460,114763,21.48,2.5,52000.0,572.5,Franc CFA (XOF),1.1,60.6,90.82969432314411,1449.9347259366862,14.81446,14.81446,114.763
BFA,Burkina Faso,Ouagadougou,24074580,274200,23.12,3.5,45000.0,572.5,Franc CFA (XOF),-0.6,59.7,78.60262008733625,960.3490486646081,24.07458,24.07458,274.2
CPV,Cape Vert,Praia,527326,4033,2.57,3.1,17000.0,96.85,Escudo cap-verdien (CVE),2.3,69.7,175.52916881775943,4873.645524779738,0.527326,0.527326,4.033
CIV,Côte d'Ivoire,Yamoussoukro,32711547,322462,87.11,2.9,75000.0,572.5,Franc CFA (XOF),0.1,58.9,131.00436681222706,2662.974025655222,32.711547,32.711547,322.462
GMB,Gambie,Banjul,2822093,11300,2.41,4.1,1100.0,73.5,Dalasi (GMD),11.6,61.0,14.965986394557824,853.9761092210639,2.822093,2.822093,11.3
GHA,Ghana,Accra,35064272,238540,82.31,3.2,587.79,11.44,Cedi (GHS),14.2,63.8,51.38024475524475,2347.4036477928303,35.064272,35.064272,238.54
GIN,Guinée,Conakry,15099727,245857,25.01,5.0,550000.0,8780.0,Franc guinéen (GNF),3.5,61.6,62.642369020501135,1656.321336140713,15.099727,15.099727,245.857
GNB,Guinée-Bissau,Bissau,2249515,36120,2.22,2.7,75000.0,572.5,Franc CFA (XOF),0.9,65.3,131.00436681222706,986.8793940027073,2.249515,2.249515,36.12
LBR,Libéria,Monrovia,5731206,111369,4.78,3.8,5000.0,181.63,Dollar libérien (LRD),8.3,65.9,27.52849198920883,834.0303943009552,5.731206,5.731206,111.369
MLI,Mali,Bamako,25198821,1030700,26.79,3.3,45000.0,572.5,Franc CFA (XOF),3.3,60.8,78.60262008733625,1063.1449780924274,25.198821,25.198821,1030.7
MRT,Mauritanie,Nouakchott,5315065,1240192,10.77,10.3,4500.0,40.08,Ouguiya (MRU),1.5,68.9,112.27544910179641,2026.315764717835,5.315065,5.315065,1240.192
NER,Niger,Niamey,27917831,1267000,19.88,3.0,42000.0,572.5,Franc CFA (XOF),-4.5,62.0,73.36244541484716,712.0897035303351,27.917831,27.917831,1267.0
NGA,Nigeria,Abuja,237527782,923768,252.26,4.5,70000.0,1378.42,Naira (NGN),23.0,54.8,50.782780284673755,1062.0231363083246,237.527782,237.527782,923.768
SEN,Senégal,Dakar,18931966,196722,32.81,4.2,75000.0,572.5,Franc CFA (XOF),1.5,68.4,131.00436681222706,1733.0476929865606,18.931966,18.931966,196.722
SLE,Sierra Léone,Freetown,8819794,71740,6.97,4.0,800.0,24.35,Leone (SLE),7.5,55.2,32.85420944558521,790.2678906105971,8.819794,8.819794,71.74
TGO,Togo,Lomé,8591626,56600,10.65,2.8,52500.0,572.5,Franc CFA (XOF),0.4,61.9,91.70305676855895,1239.5790971348147,8.591626,8.591626,56.6
